id,question,audio_clip,option_1,option_2,option_3,option_4,answer_index,audio_length
dc90f59e-835e-469b-bbd4-6a0916106b37,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/070036.mp3,Ash-Shu'ara,Qaf,Al-Ma'arij,At-Tariq,3,
9288fa2a-86cf-4b0a-9e81-441fbfdf55fc,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/073012.mp3,Al-Balad,Al-Muddathir,Hud,Al-Muzzammil,4,
82323e1e-c3fa-4152-bdae-c2dc009f123a,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/074029.mp3,Al-Waqi'a,Al-An'am,Al-Muddathir,Al-'Adiyat,3,
c40099db-b57e-4790-bd0f-2ef1244e4f56,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/070042.mp3,Abasa,Al-Ma'arij,Ta-Ha,Al-Qiyama,2,
b554ae3f-6ce6-432b-ab12-b0f092868520,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/067011.mp3,Al-Baqarah,Al-Mulk,Al-Jinn,At-Tariq,2,
2fabb4bb-48a4-4021-8916-6f154af715c5,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/069038.mp3,Al-Fajr,Al-Kawthar,Al-Haqqah,At-Tin,3,
0f05b471-efd9-4d8f-8877-898431f1a0c8,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/076014.mp3,Al-Insan,Al-Mulk,Al-Fatiha,Al-Fajr,1,
c443ba47-1c79-400e-935e-06f3e1da29ad,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/073019.mp3,Al-Muzzammil,Al-Hujurat,Ash-Shu'ara,Maryam,1,
3135c950-e982-4fde-91a6-e0c2406989f8,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/068038.mp3,Al-Qalam,Sad,Al-Ma'arij,At-Tawbah,1,
a7bfd444-ebd0-488f-9d06-ba6184d0a7c9,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/077011.mp3,Al-Asr,At-Tin,Al-Ikhlas,Al-Mursalat,4,
fd325650-fa83-4115-99db-08cfa4669203,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/074043.mp3,Yunus,Ash-Shu'ara,Al-Muddathir,At-Tahrim,3,
6de75010-fdeb-4cbc-a211-106b72771af1,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/067018.mp3,Al-Waqi'a,Al-Mulk,Az-Zumar,Az-Zalzala,2,
e81b3efc-b482-4dd0-9377-11c6c6103238,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/067027.mp3,Al-Mulk,An-Nazi'at,At-Taghabun,Al-Insan,1,
df29fb29-3a54-4b59-b95a-4ae6995d2680,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/075034.mp3,Al-Qiyama,Al-Jumu'a,Sad,Al-Humaza,1,
4df35241-08cf-404f-bae3-3a0a02518d01,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/077033.mp3,Al-Ahqaf,Al-'Adiyat,Al-Mursalat,Fatir,3,
9e5db015-79fa-43fd-8491-1134a9212b6b,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/073011.mp3,Al-Muzzammil,Al-Kafirun,An-Nisa',Al-Mutaffifin,1,
6950a1a8-c0b0-4a34-b1c1-e39ce7227222,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/077035.mp3,Al-Mursalat,At-Tariq,Az-Zukhruf,Al-Ma'idah,1,
7605cd59-2841-47da-a17a-e96142c6b3e2,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/076024.mp3,Ibrahim,Al-Insan,Ar-Ra'd,Al-Inshiqaq,2,
797de6ca-4e9b-45d2-97a8-35b8bc3bc824,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/073013.mp3,Al-Ahqaf,Al-Muzzammil,Al-Kafirun,Al-Fil,2,
f89664e8-33c1-455e-8cef-2bf5d68ecff1,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/077043.mp3,Al-Mursalat,Ad-Duhaa,Az-Zalzala,Al-Hashr,1,
29a72eb4-d09a-47d8-81af-aa9504a8a0ec,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/068002.mp3,Al-Jumu'a,Al-Humaza,Al-Qalam,An-Naba,3,
a88e8989-5d56-4c34-96b6-6eaec166d28f,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/077042.mp3,An-Nasr,Al-Mursalat,Al-Isra,Al-Ahqaf,2,
2a90b1eb-7cea-48a6-808b-142421ecf13d,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/075028.mp3,Al-Qiyama,As-Sajda,At-Tawbah,Al-Fath,1,
7be87c01-2a30-4110-85fc-95a8e033a0b5,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/073017.mp3,At-Tariq,Al-'Alaq,Sad,Al-Muzzammil,4,
01f3c65d-8911-4f27-af38-9b9ddcd59e9c,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/072010.mp3,Al-Falaq,Al-Infitar,Al-Jinn,Al-Ma'un,3,
5d2fde8f-6cc8-4d24-b163-25d6f3b3f74e,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/070038.mp3,Al-Inshiqaq,At-Tin,Al-Ma'arij,Al-Fath,3,
b7abe59a-2c17-42c1-b62f-562aadbf815e,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/067002.mp3,Al-Mulk,Al-Infitar,Al-Falaq,Al-Anbiya,1,
445f77b5-0831-4ff6-8393-cb416cfe706c,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/071028.mp3,Nuh,Al-Ghashiya,Al-'Alaq,Al-Qalam,1,
1d3a77b5-d106-4b89-b52a-61f94687ebb5,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/069032.mp3,Al-Haqqah,Al-Hajj,Al-Muzzammil,Al-Qasas,1,
45b82a90-1eb5-4ab8-9991-edbbe8618acf,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/075015.mp3,Sad,Al-Qiyama,Al-'Adiyat,Al-Lail,2,
7a69061d-9ec9-4fd6-86bc-5491110f2734,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/068024.mp3,Luqman,Al-Qalam,Ar-Ra'd,Al-Mursalat,2,
7a416372-e40c-498a-9c6c-51bd4d7a4965,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/071020.mp3,Al-Qalam,Al-Infitar,Al-Qasas,Nuh,4,
e3d41c64-05dd-4b74-9826-7f5ff33ec239,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/073019.mp3,Al-Muzzammil,An-Najm,Ar-Rum,Qaf,1,
654fd6a4-2973-469f-b5b9-199e4fa1fb34,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/077013.mp3,Al-Mu'minun,Al-'Alaq,Al-Infitar,Al-Mursalat,4,
084f0aed-213f-444a-8367-9c7ec92ceeb5,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/076007.mp3,Aal-E-Imran,Al-Insan,Abasa,Al-Haqqah,2,
8ddb73b8-4423-450d-9759-3df650506a09,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/070016.mp3,An-Nahl,Aal-E-Imran,Al-Fil,Al-Ma'arij,4,
f4f37a8f-b6c4-4298-b31e-18b303ea02c0,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/067005.mp3,Al-Mulk,Al-Ma'arij,Al-Qadr,Al-Mutaffifin,1,
ffd1b0d2-037a-43a7-a660-068495ebdf67,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/073002.mp3,Al-Muzzammil,Ash-Shu'ara,Al-Hijr,Ash-Shura,1,
7f61321a-22fc-497e-9fd1-9adfee624e70,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/076019.mp3,Az-Zukhruf,Al-Hijr,Al-Masad,Al-Insan,4,
5075dd90-28c2-42b7-b55c-f59a2b004f6a,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/076026.mp3,Al-'Alaq,Al-Mulk,Al-Jinn,Al-Insan,4,
83aa4b88-848b-4947-b4c5-28e2124d3fc9,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/073014.mp3,Al-Qasas,Qaf,Al-Muzzammil,Al-Jumu'a,3,
89632218-b541-4552-929b-42273eb6b020,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/069030.mp3,Al-Haqqah,At-Tawbah,Al-Humaza,Muhammad,1,
c6647d15-a6b2-43f1-9257-e23633e9b9b4,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/070036.mp3,Al-Mujadila,At-Tawbah,Al-Humaza,Al-Ma'arij,4,
593b66b5-c634-49ef-805f-fb4974b7624d,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/067026.mp3,Saba',Al-Lail,Al-Mulk,Al-'Adiyat,3,
a1f46df0-edfb-47db-add1-81bfac6d887f,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/073008.mp3,Al-Ahqaf,Al-Muzzammil,Al-Qalam,Al-Balad,2,
73b267fa-5481-4cfb-af1c-0c531be3bd54,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/069034.mp3,Al-Haqqah,At-Takwir,Yusuf,Al-Hadid,1,
bb9674f9-eda1-42b1-a429-c595c1032c81,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/067016.mp3,Al-Waqi'a,Al-Mulk,Al-Mumtahina,Al-Fajr,2,
05d7bdf3-3f7b-48b8-b82d-f09e9bb34383,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/067007.mp3,Al-An'am,Al-'Adiyat,Al-Mulk,As-Sajda,3,
90304941-433a-4d1d-a6cc-5a3052d982e7,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/070043.mp3,Al-Ma'arij,Luqman,An-Nasr,Al-Anbiya,1,
778ad6b3-f128-40b5-8b76-bf1e2b7c1f75,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/071004.mp3,Nuh,An-Nazi'at,Al-Hajj,Al-'Adiyat,1,
88c47795-ac34-45fb-a0d6-4624049c09bc,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/074007.mp3,Al-Mumtahina,Fatir,Al-Haqqah,Al-Muddathir,4,
d2f338cc-a557-42df-8d96-a290329f7e56,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/073008.mp3,Al-Lail,Al-Muzzammil,Al-Mutaffifin,Al-Anbiya,2,
92cd69bf-21fb-40d3-8364-6bc65f6975d6,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/077033.mp3,Al-Inshiqaq,An-Nisa',Al-Mursalat,Al-Masad,3,
04000217-03c7-45db-81d9-3d74965ed93a,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/076010.mp3,Al-Insan,Al-Jinn,Nuh,Aal-E-Imran,1,
fbad2156-0724-44df-aad6-219deb65505d,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/073005.mp3,At-Talaq,Al-Muzzammil,Al-Jathiya,Abasa,2,
441f9c4c-b406-42c1-9a47-b697f8056c2b,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/074056.mp3,As-Saffat,Yusuf,Al-Fath,Al-Muddathir,4,
fc739781-3bba-4169-b51a-50d530bac1d5,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/077032.mp3,At-Takwir,Al-Ankabut,Al-Mursalat,Al-Ma'idah,3,
7f85c445-0b8f-4abc-ba34-c1b9cf7f4b9c,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/071014.mp3,Az-Zalzala,Al-Fath,Ash-Sharh,Nuh,4,
71748b18-8b22-48ef-86bf-3324a408fbbf,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/069003.mp3,Al-Haqqah,Al-Furqan,Al-Hajj,Al-Jathiya,1,
83f69433-1231-4383-baee-38b98fc564fb,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/071008.mp3,At-Tahrim,Nuh,Al-Waqi'a,Al-Kahf,2,
fa00f9c3-537d-4d7c-8aa3-65e34fecb074,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/068011.mp3,Al-Fajr,Al-A'la,Az-Zukhruf,Al-Qalam,4,
85190b78-91ee-4545-b105-fd838df44934,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/074039.mp3,Al-Muddathir,Ibrahim,Al-Ankabut,Ya-Sin,1,
a4b58baa-cd59-4826-873e-1db579ea1a9f,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/071021.mp3,Al-Hijr,Al-Asr,Nuh,Al-Ankabut,3,
ea4a3634-05aa-4e5e-8424-4c31cc91a595,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/068024.mp3,Maryam,Al-Asr,Al-Qadr,Al-Qalam,4,
22c0f6de-0f66-402d-9e42-db86235dcb46,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/077038.mp3,Al-An'am,Al-Mursalat,Saba',Al-Waqi'a,2,
60f18521-6551-4721-8b95-fabd18293d68,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/072015.mp3,Al-Jinn,Ad-Dukhan,Sad,Al-Anfal,1,
b9b2e34f-f595-4e0d-b255-af6abfdfbbad,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/075014.mp3,Al-Ahqaf,Al-An'am,Al-Qiyama,Al-Waqi'a,3,
3288669d-d766-45bd-8a3e-fcfc915602a7,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/075040.mp3,Al-Falaq,Quraish,Al-Qiyama,Al-Inshiqaq,3,
5138c647-a139-44e4-9e3a-4541d029aac8,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/075027.mp3,Al-Infitar,Al-Qiyama,At-Tur,Al-A'la,2,
10a5735c-dcae-402f-b557-5451f37823f9,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/067004.mp3,Al-Baqarah,Al-Mulk,Al-Hadid,Al-Haqqah,2,
78ab3887-8f20-42b7-ae22-8440fb085520,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/067021.mp3,Al-Anbiya,Al-Mulk,Al-Kawthar,Abasa,2,
1225329c-d730-41cc-a001-fe270d6711c3,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/073011.mp3,Al-Qiyama,Al-Muzzammil,Al-Jumu'a,Al-Hajj,2,
cfc7910b-8e74-4a54-91d7-0adde8384754,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/070031.mp3,Al-Isra,Al-Ma'arij,Ta-Ha,An-Naba,2,
d8885252-df7d-4f93-8be7-cf9294445aad,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/069004.mp3,Fussilat,Al-Haqqah,Abasa,Al-Anbiya,2,
f235dc50-9933-4418-bb42-fde934e38deb,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/070038.mp3,At-Tin,As-Sajda,Al-Anfal,Al-Ma'arij,4,
f7b4f0e5-2556-4b35-9123-43d860df8ded,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/072011.mp3,At-Tur,Al-Mutaffifin,Saba',Al-Jinn,4,
be206abe-0035-476c-9675-0e516cdef27c,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/072003.mp3,An-Naba,Al-Jinn,Al-Mulk,Yunus,2,
eb443aae-c671-41d6-bd88-fa96d1020c10,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/077043.mp3,Al-Mursalat,An-Nasr,Al-'Alaq,As-Sajda,1,
72d3c5af-a260-490a-a65f-67076e2880c6,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/077025.mp3,Al-Fajr,Al-Jumu'a,An-Nur,Al-Mursalat,4,
153e3017-ebb9-428a-b5eb-c0fe42d5988d,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/074014.mp3,Al-Muddathir,Abasa,Az-Zukhruf,Al-Kafirun,1,
a06b1c64-5b51-4b6e-80b0-0d7a5ff1c7a3,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/070009.mp3,Al-Hijr,Al-Ma'arij,Al-Inshiqaq,Ta-Ha,2,
613ecf6d-119c-48a0-b31b-b5acf0b65df9,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/071025.mp3,Al-Isra,Al-Infitar,Ash-Shura,Nuh,4,
5e337d8e-dd85-4212-9fdd-f3df9a467508,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/076021.mp3,Al-Insan,Al-Waqi'a,As-Sajda,An-Nasr,1,
aef12666-5cf9-475e-be97-3a71412b36a8,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/070003.mp3,Al-Jinn,Al-Ma'arij,Quraish,Al-Ma'un,2,
f8fd6ec2-a09a-48f2-b12f-1b0fe2603479,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/077032.mp3,Ad-Dukhan,Al-Insan,Al-Mursalat,As-Saffat,3,
